TPS_ID,IRI_Perspective_Taking,IRI_Fantasy,IRI_Empathic_Concern,IRI_Personal_Distress
TPS2001,17,24,31,26
TPS2002,14,30,25,25
TPS2003,22,26,17,11
TPS2004,20,23,16,11
TPS2005,20,26,27,20
TPS2006,17,18,21,18
TPS2007,31,26,27,7
TPS2008,25,24,27,20
TPS2011,16,26,20,16
TPS2012,29,20,23,15
TPS2013,28,32,34,24
TPS2014,25,25,26,20
TPS2015,23,21,26,18
TPS2016,14,26,19,13
TPS2017,26,21,28,7
TPS2018,21,21,21,20
TPS2019,19,25,21,21
TPS2020,21,22,25,10
TPS2021,21,24,22,26
TPS2022,28,19,27,19
TPS2023,21,24,28,17
TPS2024,22,25,22,18
TPS2028,25,31,29,10
TPS2029,18,13,25,20
TPS2030,27,29,29,14
TPS2031,21,18,18,18
TPS2032,22,28,25,12
TPS2033,26,23,26,14
TPS2034,23,21,28,17
TPS2035,25,25,20,17
TPS2036,27,27,28,15
TPS2037,23,22,25,20
TPS2038,21,21,24,19
TPS2039,17,17,20,15
TPS2040,17,18,24,16
TPS2041,26,31,22,17
TPS2042,24,16,21,11
TPS2044,26,17,26,10
TPS2045,19,32,18,13
TPS2046,27,34,27,17
TPS2048,20,29,26,23
TPS2049,26,25,25,20
TPS2050,23,26,26,22
TPS2051,23,19,23,21
TPS2052,9,22,15,12
TPS2053,24,29,28,18
TPS2054,23,20,20,15
TPS2055,17,15,21,8
TPS2056,21,14,18,18
TPS2058,12,23,14,16
TPS2061,18,11,26,16
TPS2062,28,24,28,18
TPS2063,20,23,14,15
TPS2064,28,21,25,20
TPS1F0014,25,23,24,16
TPS1F0015,23,24,25,16
TPS1F0016,21,15,20,13
TPS1F0017,23,21,22,16
TPS1F0018,27,29,30,18
TPS1F0020,28,28,30,17
TPS1F0021,28,26,28,18
TPS1F0022,23,24,27,22
TPS1F0023,20,18,27,16
TPS1F0024,22,22,21,14
TPS1F0025,20,20,26,20
TPS1F0026,23,32,25,20
TPS1F0027,27,23,22,17
TPS1F0028,31,31,33,14
TPS1F0029,29,20,25,12
TPS1F0030,17,31,26,19
TPS1F0031,21,20,25,17
TPS1F0032,22,16,29,20
TPS1F0033,12,20,16,19
TPS1F0034,35,34,32,22
TPS1F0035,24,33,22,20
TPS1F0036,18,23,25,13
TPS1F0038,26,28,28,13
TPS1F0039,24,18,23,15
TPS1F0040,27,25,23,16
TPS1F0041,20,19,26,25
TPS1F0042,27,29,27,20
TPS1F0044,20,17,19,17
TPS1F0045,30,22,20,13
TPS1F0046,22,19,24,16
TPS1F0047,25,23,31,13
TPS1F0048,23,23,24,18
TPS1P0001,23,20,21,11
TPS1P0005,15,15,18,20
TPS1P0006,21,26,23,16
TPS1P0007,21,22,21,20
TPS1P0008,21,17,20,15
TPS1P0009,23,16,23,13
TPS1P0011,20,20,25,14
TPS1P0012,17,17,25,18
TPS1P0013,18,31,21,15
TPS2065,19,22,16,15
TPS2071,20,26,19,14
TPS2066,25,24,24,17
TPS2075,24,23,22,15
TPS2059,27,24,26,19
TPS2070,19,25,20,20
TPS2067,23,19,23,15
TPS2072,23,19,26,21
TPS2073,22,20,25,17
TPS2080,25,24,23,15
TPS2069,22,18,19,17
TPS2077,19,18,19,17
TPS2078,24,19,23,18
TPS2074,27,25,19,16
TPS2079,21,21,26,21
TPS2076,15,18,19,17